date,product,category,price,quantity,revenue
02-08-2022,Smartphone,Electronics,600,10,6000
03-08-2022,Speaker,Electronics,80,25,2000
04-08-2022,Coat,Clothing,100,15,1500
05-08-2022,Smartwatch,Accessories,200,10,2000
06-08-2022,Smartphone,Electronics,600,7,4200
07-08-2022,Backpack,Bags,50,18,900
08-08-2022,T-Shirt,Clothing,20,35,700
09-08-2022,Jeans,Clothing,50,10,500
10-08-2022,Watch,Accessories,150,12,1800
11-08-2022,Hoodie,Clothing,40,20,800
12-08-2022,Smartphone,Electronics,600,12,7200
13-08-2022,Sneakers,Shoes,80,15,1200
14-08-2022,Wallet,Accessories,30,40,1200
15-08-2022,Smartwatch,Accessories,200,5,1000
16-08-2022,Smartphone,Electronics,600,6,3600
17-08-2022,Coat,Clothing,100,8,800
18-08-2022,Speaker,Electronics,80,20,1600
19-08-2022,Backpack,Bags,50,15,750
20-08-2022,T-Shirt,Clothing,20,20,400
21-08-2022,Tablet,Electronics,400,6,2400
22-08-2022,Smartphone,Electronics,600,7,4200
23-08-2022,Sneakers,Shoes,80,12,960
24-08-2022,T-Shirt,Clothing,20,25,500
25-08-2022,Smartwatch,Accessories,200,8,1600
26-08-2022,Jeans,Clothing,50,15,750
27-08-2022,Smartphone,Electronics,600,9,5400
28-08-2022,Watch,Accessories,150,10,1500
29-08-2022,Coat,Clothing,100,5,500
30-08-2022,Headphones,Electronics,100,15,1500
31-08-2022,Smartphone,Electronics,600,11,6600
01-09-2022,Hoodie,Clothing,40,20,800
02-09-2022,Smartphone,Electronics,600,10,6000
03-09-2022,Speaker,Electronics,80,22,1760
04-09-2022,Coat,Clothing,100,18,1800
05-09-2022,Smartwatch,Accessories,200,12,2400
06-09-2022,Smartphone,Electronics,600,7,4200
07-09-2022,Backpack,Bags,50,20,1000
08-09-2022,T-Shirt,Clothing,20,30,600
09-09-2022,Jeans,Clothing,50,25,1250
10-09-2022,Watch,Accessories,150,15,2250
11-09-2022,Hoodie,Clothing,40,15,600
12-09-2022,Smartphone,Electronics,600,12,7200
13-09-2022,Sneakers,Shoes,80,8,640
14-09-2022,Wallet,Accessories,30,35,1050
15-09-2022,Smartwatch,Accessories,200,9,1800
16-09-2022,Smartphone,Electronics,600,6,3600
17-09-2022,Coat,Clothing,100,8,800
18-09-2022,Speaker,Electronics,80,20,1600
19-09-2022,Backpack,Bags,50,15,750
20-09-2022,T-Shirt,Clothing,20,25,500
21-09-2022,Smartphone,Electronics,600,7,4200
22-09-2022,Sneakers,Shoes,80,12,960
23-09-2022,T-Shirt,Clothing,20,15,300
24-09-2022,Smartwatch,Accessories,200,8,1600
25-09-2022,Jeans,Clothing,50,20,1000
26-09-2022,Smartphone,Electronics,600,9,5400
27-09-2022,Watch,Accessories,150,5,750
28-09-2022,Coat,Clothing,100,5,500
29-09-2022,Headphones,Electronics,100,10,1000
30-09-2022,Smartphone,Electronics,600,11,6600
01-10-2022,Hoodie,Clothing,40,30,1200
01-10-2022,Hoodie,Clothing,40,30,1200
02-10-2022,Smartphone,Electronics,600,10,6000
03-10-2022,Speaker,Electronics,80,25,2000
04-10-2022,Coat,Clothing,100,15,1500
05-10-2022,Smartwatch,Accessories,200,10,2000
06-10-2022,Smartphone,Electronics,600,7,4200
07-10-2022,Backpack,Bags,50,18,900
08-10-2022,T-Shirt,Clothing,20,35,700
09-10-2022,Jeans,Clothing,50,10,500
10-10-2022,Watch,Accessories,150,12,1800
11-10-2022,Hoodie,Clothing,40,20,800
12-10-2022,Smartphone,Electronics,600,12,7200
13-10-2022,Sneakers,Shoes,80,15,1200
14-10-2022,Wallet,Accessories,30,40,1200
15-10-2022,Smartwatch,Accessories,200,5,1000
16-10-2022,Smartphone,Electronics,600,6,3600
17-10-2022,Coat,Clothing,100,8,800
18-10-2022,Speaker,Electronics,80,20,1600
19-10-2022,Backpack,Bags,50,15,750
20-10-2022,T-Shirt,Clothing,20,20,400
21-10-2022,Tablet,Electronics,400,6,2400
22-10-2022,Smartphone,Electronics,600,7,4200
23-10-2022,Sneakers,Shoes,80,12,960
24-10-2022,T-Shirt,Clothing,20,25,500
25-10-2022,Smartwatch,Accessories,200,8,1600
26-10-2022,Jeans,Clothing,50,15,750
27-10-2022,Smartphone,Electronics,600,9,5400
28-10-2022,Watch,Accessories,150,10,1500
29-10-2022,Coat,Clothing,100,5,500
30-10-2022,Headphones,Electronics,100,15,1500
31-10-2022,Smartphone,Electronics,600,11,6600
01-11-2022,Hoodie,Clothing,40,20,800
02-11-2022,Smartphone,Electronics,600,10,6000
03-11-2022,Speaker,Electronics,80,22,1760
04-11-2022,Coat,Clothing,100,18,1800
05-11-2022,Smartwatch,Accessories,200,12,2400
06-11-2022,Smartphone,Electronics,600,7,4200
07-11-2022,Backpack,Bags,50,20,1000
08-11-2022,T-Shirt,Clothing,20,30,600
09-11-2022,Jeans,Clothing,50,25,1250
10-11-2022,Watch,Accessories,150,15,2250
10-11-2022,Hoodie,Clothing,40,15,600
11-11-2022,Smartphone,Electronics,600,12,7200
12-11-2022,Sneakers,Shoes,80,8,640
13-11-2022,Wallet,Accessories,,35,1050
14-11-2022,Smartwatch,Accessories,200,9,1800
15-11-2022,Smartphone,Electronics,600,6,3600
16-11-2022,Coat,Clothing,100,8,800
17-11-2022,Speaker,Electronics,80,20,1600
18-11-2022,Backpack,Bags,50,15,750
19-11-2022,T-Shirt,Clothing,20,25,500
20-11-2022,Smartphone,Electronics,600,7,4200
21-11-2022,Sneakers,Shoes,80,12,960
22-11-2022,T-Shirt,Clothing,20,15,300
23-11-2022,Smartwatch,Accessories,200,8,1600
24-11-2022,Jeans,Clothing,50,20,1000
25-11-2022,Smartphone,Electronics,600,9,5400
26-11-2022,Watch,Accessories,150,5,750
27-11-2022,Coat,Clothing,100,5,500
28-11-2022,Headphones,Electronics,100,10,1000
29-11-2022,Smartphone,Electronics,600,11,6600
30-11-2022,Hoodie,Clothing,40,30,1200
01-12-2022,Smartphone,Electronics,600,10,6000
02-12-2022,Speaker,Electronics,80,25,2000
03-12-2022,Coat,Clothing,100,15,1500
04-12-2022,Smartwatch,Accessories,200,10,2000
05-12-2022,Smartphone,Electronics,600,7,4200
06-12-2022,Backpack,Bgas,50,18,900
07-12-2022,T-Shirt,Clothing,20,35,700
08-12-2022,Jeans,Clothing,50,10,500
09-12-2022,Watch,Accessories,150,12,1800
10-12-2022,Hoodie,Clothing,40,20,800
11-12-2022,Smartphone,Electronics,600,12,7200
12-12-2022,Sneakers,Shoes,80,15,1200
13-12-2022,Wallet,Accessories,30,40,1200
14-12-2022,Smartwatch,Accessories,200,5,1000
15-12-2022,Smartphone,Electronics,600,6,3600
16-12-2022,Coat,Clothing,100,8,800
17-12-2022,Speaker,Electronics,80,20,1600
18-12-2022,Backpack,Bags,50,15,750
19-12-2022,T-Shirt,Clothing,20,20,400
20-12-2022,Tablet,Electronics,400,6,2400
21-12-2022,Smartphone,Electronics,600,7,4200
22-12-2022,Sneakers,Shoeses,80,12,960
23-12-2022,T-Shirt,Clothing,20,25,500
24-12-2022,Smartwatch,Accessories,200,8,1600
25-12-2022,Jeans,Clothing,50,15,750
26-12-2022,Smartphone,Electronics,600,9,5400
27-12-2022,Watch,Accessories,150,5,750
28-12-2022,Coat,Clothing,100,5,500
29-12-2022,Headphones,Electronics,100,10,1000
30-12-2022,Smartphone,Electronics,600,11,6600
31-12-2022,Hoodie,Clothing,40,30,1200
